Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Romania,2021,135th,51,2.1,5.7,6,4.5,3.8,5.4,5,4.8,3.6,4.3,2.1,3.7
Russia,2021,74th,73.6,7.7,8.4,8,5.2,5.2,3.4,8.5,4.3,8.9,4.6,4.6,4.8
Rwanda,2021,39th,85,5.8,8,9.6,5.8,7.7,6.5,6.8,7.5,6,7.5,7.5,6.3
Samoa,2021,110th,64.2,3.8,5.1,4.5,6.5,3.7,9.9,4.3,4.8,3.6,5.2,2.9,9.9
Sao Tome and Principe,2021,83rd,71.5,4.7,6.3,4.2,8.9,6.2,7.9,4.4,6.4,3,6.7,4.9,7.9
Saudi Arabia,2021,93rd,69.7,5.7,8.5,9,4.3,4.7,3.3,7.8,4.4,8.6,4.9,3.8,4.7
Senegal,2021,76th,73.4,5.1,7,5.2,7.3,6.7,7.5,3.6,7.5,4.8,7.1,6.1,5.5
Serbia,2021,101st,67.4,4.5,8.3,7.1,6.1,4.3,5.9,5.5,3.9,3.5,3.9,7.4,7
Seychelles,2021,124th,56.3,5.4,6,4.1,5.1,6.1,5.3,4.3,2.8,4.2,4.2,2.1,6.7
Sierra Leone,2021,45th,83.4,3.8,7.8,5.6,8.5,7.9,7.4,5.7,8.8,5,8.8,7.4,6.7
Singapore,2021,165th,26.6,0.7,4,2.2,1.6,3,1.9,3.7,1.5,4.5,2.1,0.7,0.7
Slovakia,2021,154th,39,1.2,4.7,5.7,4.3,2.6,4.1,3.8,3.2,2.3,2.4,2.6,2.1
Slovenia,2021,163rd,28.2,0.5,2,3.6,3.4,2.4,3.6,1.9,2.4,1.1,3.4,2.8,1.1
Solomon Islands,2021,61st,79.3,5.6,8.2,5.3,7.2,8,6.3,5.6,7.9,4,7.4,4.4,9.4
Somalia,2021,2nd,110.9,9.3,10,8.3,9.2,9.5,8.8,9.2,9.8,8.7,10,9.2,8.9
South Africa,2021,89th,70,6.4,6.3,5.9,8.3,6.7,4.9,5.9,6.9,4.2,7.1,4.2,3.2
South Korea,2021,159th,32.5,2.1,3.9,2.3,1.9,2.2,3.5,3,2.2,3.1,2.3,1.6,4.4
South Sudan,2021,4th,109.4,9.7,9.2,8.8,9.2,8.9,6.7,9.5,10,8.7,9.5,9.9,9.3
Spain,2021,142nd,44.8,3.4,6.9,6.7,5.3,2.9,1.2,6.9,2.9,1.2,3.5,2.2,1.7
Sri Lanka,2021,55th,80.5,6.8,9.1,8.6,5.6,5.9,6.7,6.3,4.7,8.2,5.7,7.2,5.7
Sudan,2021,8th,105.2,8.1,9.1,9.5,9.1,8.3,7.7,8.8,8.8,8.6,9.1,9.4,8.7
Suriname,2021,115th,61.5,4,5.8,6.4,7.8,5.3,5.6,3.8,5.2,4.2,5.3,3.1,5
Sweden,2021,172nd,21.4,2.7,1.8,1.7,1.9,1.7,0.7,0.5,1.4,0.9,3.3,4.3,0.5
Switzerland,2021,174th,19.9,1.6,1,2.7,2,1.8,1.1,0.5,1.6,0.8,3.2,3.1,0.5
Syria,2021,3rd,110.7,9.6,9.9,9.7,9.6,7.1,8.2,10,9.6,9.7,7.6,9.7,10
Tajikistan,2021,71st,75.1,5.7,8.4,6.7,6.3,4.3,5.6,9.2,4.9,8.5,7,3.6,4.9
Tanzania,2021,61st,79.3,5.2,6.2,4.9,5.8,7,7,7.5,8.8,6.2,8.6,5.5,6.6
Thailand,2021,87th,70.9,8.2,9.7,7.3,3.9,4.5,4.1,7.7,4,7.9,5.9,5.1,2.6
Timor-Leste,2021,52nd,80.9,6.2,8.3,5.3,7.7,6.2,7,5.5,7.6,4.2,8.9,5.4,8.6
Togo,2021,38th,85.1,6.4,7.6,6,7.2,8.3,6.9,8.2,8.5,6.7,7.5,6.3,5.5
Trinidad and Tobago,2021,129th,52.9,6.9,5.6,3,4.4,4.5,7.2,3.3,4.5,3.7,3.9,2.5,3.4
Tunisia,2021,94th,69.2,7.1,7.5,7.1,7.8,4.5,5.8,5.9,5,5.5,4.3,3.5,5.2
Turkey,2021,57th,79.7,7.2,8.8,9.7,5.3,4.7,4.1,7.3,5.4,8,5.1,8.4,5.7
Turkmenistan,2021,97th,68.2,5.1,7.8,5.6,4.9,6,4.5,9.8,4.7,8.6,5.4,2.9,2.9
Uganda,2021,24th,92.9,6.9,8.9,7.8,6.2,7,6.7,8.4,8,7.4,9.2,9.1,7.3
Ukraine,2021,91st,69.8,6.7,8,5.7,6.8,3.2,5.8,6.8,4.5,6,4.3,4.2,7.8
United Arab Emirates,2021,151st,40.3,2.5,3.6,2.8,2.4,3.3,2.2,6.4,2.9,7,3.6,1.8,1.8
United Kingdom,2021,150th,41.5,3.5,5.8,6.1,5.2,3.5,2.5,3.2,2.6,2.1,3.6,1.7,1.7
United States,2021,143rd,44.6,4.3,7.3,6.5,2.1,3.7,1.8,3.5,2.7,4.4,5,2.3,1
Uruguay,2021,158th,35.9,4.2,2.7,2.4,4.4,3.3,3.6,0.5,3.8,3,3.4,1.9,2.7
Uzbekistan,2021,80th,72,6.2,8.8,6,5.4,5.7,5.2,9.3,4.6,7.6,4.8,4.4,4
Venezuela,2021,25th,92.6,7.3,9.3,7,9.8,6.7,6.5,9.5,8.9,9.1,6.5,6.3,5.7
Vietnam,2021,114th,63.3,3.9,6.9,5.2,3.9,3.8,5.3,8.4,4.3,7.8,5,4.5,4.3
Yemen,2021,1st,111.7,9.4,10,9.4,9.8,7.7,6.7,9.9,9.8,9.7,9.8,9.8,9.7
Zambia,2021,42nd,84.9,4.5,5.9,5.3,8.8,9.3,6.9,7.5,8,7,9.4,5.5,6.8
Zimbabwe,2021,10th,99.1,8.6,10,6.1,9.4,7.7,7.1,8.8,9,8,9.3,8.2,6.9
